startTimePeriod,CumDensity,long,lat
16/12/2015 7:00,192,103.73179653,1.24227702603
16/12/2015 7:00,192,103.759984277,1.24684895909
16/12/2015 7:00,192,103.74584592,1.27198656
16/12/2015 7:00,46,103.652038186,1.24502212143
16/12/2015 7:00,7,103.78145,1.1744146
16/12/2015 7:00,94,103.783123612,1.2253900353
16/12/2015 7:00,80,103.844459175,1.21065215357
16/12/2015 7:00,80,103.8308536,1.205313445
16/12/2015 7:00,80,103.819281588,1.2062461125
16/12/2015 7:00,80,103.84431244,1.205993964
16/12/2015 7:00,11,103.827768,1.1950361
16/12/2015 7:00,66,103.866077287,1.23489072813
16/12/2015 7:00,14,103.8908154,1.2251638
16/12/2015 7:00,127,103.781687126,1.24992529706
16/12/2015 7:00,20,103.834607256,1.2624825623
16/12/2015 7:00,3,103.842808537,1.24088895
16/12/2015 7:00,12,103.90070906,1.2465435
16/12/2015 7:00,32,103.914981055,1.27286721818
16/12/2015 7:00,32,103.941129968,1.26927516
16/12/2015 7:00,6,103.956585,1.260779
16/12/2015 7:00,7,104.1065086,1.294083
16/12/2015 7:00,3,104.118346,1.315082
16/12/2015 7:00,3,103.889697233,1.4371387
16/12/2015 8:00,12,103.6012167,1.2151
16/12/2015 8:00,16,103.6580097,1.2004558
16/12/2015 8:00,162,103.6602458,1.20948365455
16/12/2015 8:00,162,103.73179653,1.24227702603
16/12/2015 8:00,162,103.759984277,1.24684895909
16/12/2015 8:00,162,103.74584592,1.27198656
16/12/2015 8:00,62,103.652038186,1.24502212143
16/12/2015 8:00,1,103.78145,1.1744146
16/12/2015 8:00,75,103.783123612,1.2253900353
16/12/2015 8:00,66,103.844459175,1.21065215357
16/12/2015 8:00,66,103.8308536,1.205313445
16/12/2015 8:00,66,103.819281588,1.2062461125
16/12/2015 8:00,66,103.84431244,1.205993964
16/12/2015 8:00,11,103.827768,1.1950361
16/12/2015 8:00,1,103.842686589,1.22000625581
16/12/2015 8:00,71,103.866077287,1.23489072813
16/12/2015 8:00,27,103.8908154,1.2251638
16/12/2015 8:00,102,103.781687126,1.24992529706
16/12/2015 8:00,18,103.834607256,1.2624825623
16/12/2015 8:00,4,103.842808537,1.24088895
16/12/2015 8:00,18,103.90070906,1.2465435
16/12/2015 8:00,25,103.914981055,1.27286721818
16/12/2015 8:00,25,103.941129968,1.26927516
16/12/2015 8:00,4,103.956585,1.260779
16/12/2015 8:00,10,104.1065086,1.294083
16/12/2015 8:00,4,104.118346,1.315082
16/12/2015 8:00,4,103.889697233,1.4371387
16/12/2015 9:00,8,103.6012167,1.2151
16/12/2015 9:00,35,103.6580097,1.2004558
16/12/2015 9:00,192,103.6602458,1.20948365455
16/12/2015 9:00,192,103.73179653,1.24227702603
16/12/2015 9:00,192,103.759984277,1.24684895909
16/12/2015 9:00,192,103.74584592,1.27198656
16/12/2015 9:00,70,103.652038186,1.24502212143
16/12/2015 9:00,3,103.78145,1.1744146
16/12/2015 9:00,58,103.783123612,1.2253900353
16/12/2015 9:00,41,103.844459175,1.21065215357
16/12/2015 9:00,41,103.8308536,1.205313445
16/12/2015 9:00,41,103.819281588,1.2062461125
16/12/2015 9:00,41,103.84431244,1.205993964
16/12/2015 9:00,9,103.827768,1.1950361
16/12/2015 9:00,2,103.842686589,1.22000625581
16/12/2015 9:00,61,103.866077287,1.23489072813
16/12/2015 9:00,12,103.8908154,1.2251638
16/12/2015 9:00,91,103.781687126,1.24992529706
16/12/2015 9:00,15,103.834607256,1.2624825623
16/12/2015 9:00,13,103.842808537,1.24088895
16/12/2015 9:00,18,103.90070906,1.2465435
16/12/2015 9:00,33,103.914981055,1.27286721818
16/12/2015 9:00,33,103.941129968,1.26927516
16/12/2015 9:00,10,103.956585,1.260779
16/12/2015 9:00,2,104.1065086,1.294083
16/12/2015 9:00,4,104.118346,1.315082
16/12/2015 9:00,4,103.889697233,1.4371387
16/12/2015 10:00,1,103.6012167,1.2151
16/12/2015 10:00,17,103.6580097,1.2004558
16/12/2015 10:00,94,103.6602458,1.20948365455
16/12/2015 10:00,94,103.73179653,1.24227702603
16/12/2015 10:00,94,103.759984277,1.24684895909
16/12/2015 10:00,94,103.74584592,1.27198656
16/12/2015 10:00,43,103.652038186,1.24502212143
16/12/2015 10:00,2,103.78145,1.1744146
16/12/2015 10:00,24,103.783123612,1.2253900353
16/12/2015 10:00,15,103.844459175,1.21065215357
16/12/2015 10:00,15,103.8308536,1.205313445
16/12/2015 10:00,15,103.819281588,1.2062461125
